make,model,yom,transmission,fuel_type,engine_capacity,mileage,price
TATA,NANO TWIST,2016,MANUAL,PETROL,624,140000,2150000
TATA,RX 207,2015,MANUAL,DIESEL,2956,140000,2600000
TATA,207RX,2014,MANUAL,DIESEL,2950,57258,2525000
TATA,207 DI,2006,MANUAL,DIESEL,-1,-,990000
NISSAN,TRAD SUNNY,1989,MANUAL,PETROL,1500,1111,1800000
NISSAN,NISSAN,1979,MANUAL,PETROL,1400,-,950000
NISSAN,FB14,1996,MANUAL,PETROL,1500,130000,3100000
NISSAN,TRAD SUNNY,1986,MANUAL,PETROL,1300,-,1650000
NISSAN,FB15 SUPER SALOON,2002,AUTOMATIC,PETROL,1500,156822,5250000
NISSAN,B11,1984,MANUAL,PETROL,-,212946,1275000
NISSAN,TRAD SUNNY WHB12,1987,MANUAL,PETROL,1500,175643,2550000
NISSAN,FB13,1993,MANUAL,DIESEL,1700,-,1875000
NISSAN,FB13 DOCTOR SUNNY,1991,MANUAL,DIESEL,1700,549000,2175000
NISSAN,FB14,1996,AUTOMATIC,PETROL,1500,275000,3250000
NISSAN,CEDRIC 330,0,MANUAL,DIESEL,2200,1975000,1975000
NISSAN,MARCH,1987,MANUAL,PETROL,-,78000,1595000
NISSAN,AD VY11,2003,AUTOMATIC,PETROL,1500,178000,3385000
NISSAN,FB14 EX SALOON,1995,AUTOMATIC,PETROL,1300,200000,2975000
NISSAN,ALMERA EL,2025,AUTOMATIC,PETROL,1000,0,12940000
NISSAN,SUNNY,1979,MANUAL,PETROL,-,-,750000
NISSAN,AD WAGON Y10,1999,AUTOMATIC,PETROL,1500,-,2475000
NISSAN,FB14,1995,AUTOMATIC,PETROL,1500,117000,1350000
NISSAN,HB11 SGL,1985,MANUAL,PETROL,1500,235000,1275000
NISSAN,B310,1983,MANUAL,PETROL,1200,1234,360000
NISSAN,HB11 LORAL SPRINT,1987,MANUAL,PETROL,1500,-,1095000
NISSAN,B12TRAD SUNNY,1988,MANUAL,PETROL,1500,6249,1000000
NISSAN,PULSAR FN,1996,MANUAL,PETROL,1490,240000,2575000
NISSAN,LEAF,2012,AUTOMATIC,ELECTRIC,-,49000,6950000
NISSAN,B11,1985,MANUAL,PETROL,1300,-,1025000
NISSAN,SUNNY B211,1979,MANUAL,PETROL,1200,250000,550000
NISSAN,FB12 TRAD SUNNY,1986,MANUAL,PETROL,1500,11111111,800000
NISSAN,BLUEBIRD SYLPHY,2010,AUTOMATIC,PETROL,1500,189000,6000000
NISSAN,ALMERA,2024,AUTOMATIC,PETROL,1000,-,14500000
NISSAN,TRAD SUNNY,1987,MANUAL,PETROL,1300,123456,1400000
NISSAN,QASHQAI,2019,AUTOMATIC,PETROL,1200,70000,14500000
NISSAN,AD WAGON,1989,MANUAL,PETROL,1300,224543,1075000
NISSAN,HB12,1987,MANUAL,PETROL,1500,1870000,1625000
NISSAN,CARAVAN E25,2007,AUTOMATIC,DIESEL,1111,1111,10775000
NISSAN,CARAVAN,1991,MANUAL,DIESEL,2700,350000,5775000
NISSAN,QD,1999,MANUAL,DIESEL,3150,-,6750000
NISSAN,VANETTE,2001,MANUAL,DIESEL,2000,250000,5600000
NISSAN,SERENA FX,1998,AUTOMATIC,DIESEL,-,212424,3500000
NISSAN,CLIPPER,2015,AUTOMATIC,PETROL,650,84000,5925000
NISSAN,CARAVAN GLL,1999,AUTOMATIC,DIESEL,3200,279000,9800000
NISSAN,CARAVAN VRG,1982,MANUAL,DIESEL,2200,54807,1310000
NISSAN,CARAVAN,1995,MANUAL,DIESEL,2000,75000,2475000
NISSAN,VANETTE,1995,MANUAL,DIESEL,1800,196325,1950000
