Date,Make,Type,Title,Location,Mileage,Overview Price,Detail Price,Engine CC,YOM,Post Make,Model,Gear,Fuel Type,Post URL,Image URL
8/5/2025,micro,cars,Micro Panda 2015 Car,Malabe,84000 (km),"Rs. 3,190,000","Rs. 3,190,000",1000,2015,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-malabe-10152320,https://riyasewana.com/thumb/thumbmicro-panda-511195922241.jpg
8/5/2025,micro,cars,Micro EMGrand 7 2015 Car,Gampaha,91000 (km),"Rs. 5,350,000","Rs. 5,350,000",1800,2015,Micro,EMGrand 7,Automatic,Petrol,https://riyasewana.com/buy/micro-emgrand-7-sale-gampaha-10152034,https://riyasewana.com/thumb/thumbmicro-emgrand-7-2015-510362612191.jpg
8/5/2025,micro,cars,Micro PANDA CROSS 2017 Car,Colombo,65045 (km),"Rs. 4,275,000","Rs. 4,275,000",1000,2017,Micro,PANDA CROSS,Manual,Petrol,https://riyasewana.com/buy/micro-panda-cross-sale-colombo-10151986,https://riyasewana.com/thumb/thumbmicro-panda-cross-510281971.jpg
8/5/2025,micro,cars,Micro MX7 Mark 2 2014 Car,Mirigama,1 (km),"Rs. 3,875,000","Rs. 3,875,000",1498,2014,Micro,MX7 Mark 2,Manual,Petrol,https://riyasewana.com/buy/micro-mx7-mark-sale-mirigama-10151958,https://riyasewana.com/thumb/thumbmicro-mx7-mark2-5102438731.jpg
8/5/2025,micro,cars,Micro MX7 Mark 2 2012 Car,Ja-Ela,153400 (km),"Rs. 3,250,000","Rs. 3,250,000",1500,2012,Micro,MX7 Mark 2,Manual,Petrol,https://riyasewana.com/buy/micro-mx7-mark-sale-ja-ela-10151674,https://riyasewana.com/thumb/thumbmicro-mx7-5941554411.jpg
8/5/2025,micro,cars,Micro Panda 2011 Car,Kurunegala,85000 (km),"Rs. 2,850,000","Rs. 2,850,000",1300,2011,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-kurunegala-10151561,https://riyasewana.com/thumb/thumbmicro-panda-5929234921.jpg
8/5/2025,micro,cars,Micro Panda 2015 Car,Anuradapura,100000 (km),"Rs. 3,325,000","Rs. 3,325,000",1000,2015,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-anuradapura-10151543,https://riyasewana.com/thumb/thumbmicro-panda-59273022751.jpg
8/5/2025,micro,cars,Micro Lifan 2010 Car,Dompe,151240 (km),"Rs. 1,825,000","Rs. 1,825,000",1600,2010,Micro,Lifan,Manual,Petrol,https://riyasewana.com/buy/micro-lifan-sale-dompe-10151459,https://riyasewana.com/thumb/thumbmicro-lifan-5918554151.jpg
8/5/2025,micro,cars,Micro Panda 2015 Car,Panadura,108000 (km),"Rs. 3,225,000","Rs. 3,225,000",1000,2015,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-panadura-10151449,https://riyasewana.com/thumb/thumbmicro-panda-2015-59180612031.jpg
8/5/2025,micro,cars,Micro Panda 2014 Car,Panadura,,"Rs. 3,295,000","Rs. 3,295,000",1000,2014,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-panadura-10151417,https://riyasewana.com/thumb/thumbmicro-panda-5915154751.jpg
8/5/2025,micro,cars,Micro Panda 2013 Car,Malabe,123456 (km),Negotiable,Negotiable,997,2013,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-malabe-10151362,https://riyasewana.com/thumb/thumbmicro-panda-591036111.jpg
8/5/2025,micro,cars,Micro Panda 2014 Car,Malabe,65000 (km),Negotiable,Negotiable,1000,2014,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-malabe-10151224,https://riyasewana.com/thumb/thumbmicro-panda-5855424181.jpg
8/5/2025,micro,cars,Micro Panda Cross 2015 Car,Kaduwela,86174 (km),"Rs. 3,990,000","Rs. 3,990,000",1300,2015,Micro,Panda Cross,Manual,Petrol,https://riyasewana.com/buy/micro-panda-cross-sale-kaduwela-10151108,https://riyasewana.com/thumb/thumbmicro-panda-cross-58444022941.jpg
8/5/2025,micro,cars,Micro Mx7 2015 Car,Malabe,123456 (km),Negotiable,Negotiable,1498,2015,Micro,Mx7,Manual,Petrol,https://riyasewana.com/buy/micro-mx7-sale-malabe-10150980,https://riyasewana.com/thumb/thumbmicro-mx7-582844341.jpg
8/4/2025,micro,cars,Micro Panda 2018 Car,Horana,46400 (km),Negotiable,Negotiable,1000,2018,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-horana-10150165,https://riyasewana.com/thumb/thumbmicro-panda-2018-423344812011.jpg
8/4/2025,micro,cars,Micro Trend 2012 Car,Kurunegala,55000 (km),"Rs. 1,850,000","Rs. 1,850,000",1000,2012,Micro,Trend,Manual,Petrol,https://riyasewana.com/buy/micro-trend-sale-kurunegala-10149902,https://riyasewana.com/thumb/thumbmicro-trend-2012-421311712051.jpg
8/4/2025,micro,cars,Micro Panda Cross 2014 Car,Panadura,103000 (km),"Rs. 3,575,000","Rs. 3,575,000",1300,2014,Micro,Panda Cross,Manual,Petrol,https://riyasewana.com/buy/micro-panda-cross-sale-panadura-10149432,https://riyasewana.com/thumb/thumbmicro-panda-cross-2014-419231012661.jpg
8/4/2025,micro,cars,Micro Panda 1.0 2014 Car,Matugama,104000 (km),"Rs. 3,175,000","Rs. 3,175,000",1000,2014,Micro,Panda 1.0,Manual,Petrol,https://riyasewana.com/buy/micro-panda-1-0-sale-matugama-10149374,https://riyasewana.com/thumb/thumbmicro-panda-1-0-2014-419123912561.jpg
8/4/2025,micro,cars,Micro Emgrand 2015 Car,Ambalangoda,128000 (km),"Rs. 4,175,000","Rs. 4,175,000",1800,2015,Micro,Emgrand,Automatic,Petrol,https://riyasewana.com/buy/micro-emgrand-sale-ambalangoda-10149103,https://riyasewana.com/thumb/thumbmicro-emgrand-41818064781.jpg
8/4/2025,micro,cars,Micro Panda LC 2015 Car,Chilaw,66000 (km),"Rs. 3,275,000","Rs. 3,275,000",1000,2015,Micro,Panda LC,Manual,Petrol,https://riyasewana.com/buy/micro-panda-lc-sale-chilaw-10148852,https://riyasewana.com/thumb/thumbmicro-panda-lc-4172521191.jpg
8/4/2025,micro,cars,Micro Lifan 2010 Car,Moneragala,117000 (km),"Rs. 1,850,000","Rs. 1,850,000",1590,2010,Micro,Lifan,Manual,Petrol,https://riyasewana.com/buy/micro-lifan-sale-moneragala-10148822,https://riyasewana.com/thumb/thumbmicro-lifan-2010-417202812741.jpg
8/4/2025,micro,cars,Micro PANDA 2013 Car,Ja-Ela,118000 (km),Negotiable,Negotiable,1000,2013,Micro,PANDA,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-ja-ela-10148730,https://riyasewana.com/thumb/thumbmicro-panda-4165622241.jpg
8/4/2025,micro,cars,Micro Panda 2015 Car,Kandy,89000 (km),"Rs. 3,290,000","Rs. 3,290,000",1000,2015,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-kandy-10148509,https://riyasewana.com/thumb/thumbmicro-panda-42231026441.jpg
8/4/2025,micro,cars,Micro Panda 2015 Car,Anuradapura,88000 (km),"Rs. 3,395,000","Rs. 3,395,000",1000,2015,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-anuradapura-10148400,https://riyasewana.com/thumb/thumbmicro-panda-2015-415435712451.jpg
8/4/2025,micro,cars,Micro Panda 2012 Car,Kadawatha,103000 (km),"Rs. 2,590,000","Rs. 2,590,000",1300,2012,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-kadawatha-10148348,https://riyasewana.com/thumb/thumbmicro-panda-415341622521.jpg
8/4/2025,micro,cars,Micro Panda Cross 2013 Car,Malabe,110000 (km),"Rs. 3,390,000","Rs. 3,390,000",1300,2013,Micro,Panda Cross,Manual,Petrol,https://riyasewana.com/buy/micro-panda-cross-sale-malabe-10148033,https://riyasewana.com/thumb/thumbmicro-panda-cross-41423534191.jpg
8/4/2025,micro,cars,Micro Panda 2018 Car,Jaffna,52000 (km),Negotiable,Negotiable,1000,2018,Micro,Panda,Automatic,Petrol,https://riyasewana.com/buy/micro-panda-sale-jaffna-10147653,https://riyasewana.com/thumb/thumbmicro-lc-1-0-2018-413135712971.jpg
8/4/2025,micro,cars,Micro PANDA CROSS 2017 Car,Malabe,74849 (km),"Rs. 4,395,000","Rs. 4,395,000",1000,2017,Micro,PANDA CROSS,Automatic,Petrol,https://riyasewana.com/buy/micro-panda-cross-sale-malabe-10147632,https://riyasewana.com/thumb/thumbmicro-panda-cross-4130945721.jpg
8/4/2025,micro,cars,Micro Panda 2015 Car,Negombo,73200 (km),"Rs. 3,295,000","Rs. 3,295,000",1000,2015,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-negombo-10147607,https://riyasewana.com/thumb/thumbmicro-panda-2015-41305591275174.jpg
8/4/2025,micro,cars,Micro PANDA 2013 Car,Malabe,65500 (km),Negotiable,Negotiable,1000,2013,Micro,PANDA,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-malabe-10147249,https://riyasewana.com/thumb/thumbmicro-panda-4120519301.jpg
8/4/2025,micro,cars,Micro PANDA 2015 Car,Malabe,120000 (km),"Rs. 3,595,000","Rs. 3,595,000",1000,2015,Micro,PANDA,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-malabe-10147150,https://riyasewana.com/thumb/thumbmicro-panda-411502261.jpg
8/4/2025,micro,cars,Micro MX7 2012 Car,Kottawa,112649 (km),"Rs. 3,375,000","Rs. 3,375,000",1500,2012,Micro,MX7,Manual,Petrol,https://riyasewana.com/buy/micro-mx7-sale-kottawa-10147121,https://riyasewana.com/thumb/thumbmicro-mx7-41144234331.jpg
8/4/2025,micro,cars,Micro Panda 2015 Car,Gampaha,80230 (km),"Rs. 3,235,000","Rs. 3,235,000",1000,2015,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-gampaha-10146904,https://riyasewana.com/thumb/thumbmicro-panda-2015-411153512881.jpg
8/4/2025,micro,cars,Micro PANDA CROSS 2015 Car,Colombo,75427 (km),"Rs. 3,990,000","Rs. 3,990,000",1340,2015,Micro,PANDA CROSS,Manual,Petrol,https://riyasewana.com/buy/micro-panda-cross-sale-colombo-10146798,https://riyasewana.com/thumb/thumbmicro-panda-cross-4105906261.jpg
8/4/2025,micro,cars,Micro PANDA CROSS 2015 Car,Colombo,63197 (km),Negotiable,Negotiable,1340,2015,Micro,PANDA CROSS,Manual,Petrol,https://riyasewana.com/buy/micro-panda-cross-sale-colombo-10146712,https://riyasewana.com/thumb/thumbmicro-panda-4104653731.jpg
8/4/2025,micro,cars,Micro Panda Cross 2015 Car,Kaduwela,61644 (km),"Rs. 4,090,000","Rs. 4,090,000",1300,2015,Micro,Panda Cross,Manual,Petrol,https://riyasewana.com/buy/micro-panda-cross-sale-kaduwela-10146668,https://riyasewana.com/thumb/thumbmicro-panda-cross-410403222331.jpg
8/4/2025,micro,cars,Micro Panda 2012 Car,Chilaw,100000 (km),"Rs. 2,690,000","Rs. 2,690,000(Ongoing Lease)",1300,2012,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-chilaw-10146384,https://riyasewana.com/thumb/thumbmicro-panda-1-3-2012-49595112191.jpg
8/4/2025,micro,cars,Micro Panda 2015 Car,Gampaha,80000 (km),"Rs. 3,075,000","Rs. 3,075,000",1000,2015,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-gampaha-10145778,https://riyasewana.com/thumb/thumbmicro-panda-48395922401.jpg
8/4/2025,micro,cars,Micro Panda 2011 Car,Galle,,"Rs. 2,680,000","Rs. 2,680,000",-,2011,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-galle-10145691,https://riyasewana.com/thumb/thumbmicro-panda-48265022061.jpg
8/4/2025,micro,cars,Micro Panda 2012 Car,Panadura,,"Rs. 3,195,000","Rs. 3,195,000",1300,2012,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-panadura-10145312,https://riyasewana.com/thumb/thumbmicro-panda-4718394281.jpg
8/4/2025,micro,cars,Micro Emgrand 2015 Car,Bandaragama,,"Rs. 5,295,000","Rs. 5,295,000",1700,2015,Micro,Emgrand,Automatic,Petrol,https://riyasewana.com/buy/micro-emgrand-sale-bandaragama-10145205,https://riyasewana.com/thumb/thumbmicro-emgrand-4644304401.jpg
8/4/2025,micro,cars,Micro Trend 2010 Car,Bandaragama,,"Rs. 1,995,000","Rs. 1,995,000",1000,2010,Micro,Trend,Manual,Petrol,https://riyasewana.com/buy/micro-trend-sale-bandaragama-10145200,https://riyasewana.com/thumb/thumbmicro-trend-4643084641.jpg
8/4/2025,micro,cars,Micro Mx7 2011 Car,Bandaragama,,"Rs. 3,295,000","Rs. 3,295,000",1500,2011,Micro,Mx7,Manual,Petrol,https://riyasewana.com/buy/micro-mx7-sale-bandaragama-10145195,https://riyasewana.com/thumb/thumbmicro-mx7-4641494541.jpg
8/4/2025,micro,cars,Micro Panda 2012 Car,Bandaragama,,"Rs. 2,795,000","Rs. 2,795,000",1000,2012,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-bandaragama-10145189,https://riyasewana.com/thumb/thumbmicro-panda-4639544051.jpg
8/4/2025,micro,cars,Micro MICRO 2010 Car,Dompe,102147 (km),"Rs. 1,850,000","Rs. 1,850,000",800,2010,Micro,MICRO,Manual,Petrol,https://riyasewana.com/buy/micro-micro-sale-dompe-10145147,https://riyasewana.com/thumb/thumbmicro-micro-2010-46244712181.jpg
8/3/2025,micro,cars,Micro Panda 2014 Car,Matara,88000 (km),"Rs. 2,980,000","Rs. 2,980,000",1000,2014,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-matara-10144688,https://riyasewana.com/thumb/thumbmicro-panda-2014-320582412431.jpg
8/3/2025,micro,cars,Micro Panda 2015 Car,Anuradapura,102000 (km),Negotiable,Negotiable,1300,2015,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-anuradapura-10143821,https://riyasewana.com/thumb/thumbmicro-panda-3170319911.jpg
8/3/2025,micro,cars,Micro Panda 2015 Car,Dompe,40700 (km),Negotiable,Negotiable,1000,2015,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-dompe-10143395,https://riyasewana.com/thumb/thumbmicro-panda-31520034553.jpg
8/3/2025,micro,cars,Micro Panda 1.0 2018 Car,Matara,82347 (km),Negotiable,Negotiable,990,2018,Micro,Panda 1.0,Manual,Petrol,https://riyasewana.com/buy/micro-panda-1-0-sale-matara-10143381,https://riyasewana.com/thumb/thumbmicro-panda-1-0-2018-315164213001.jpg
8/3/2025,micro,cars,Micro PANDA LC 2012 Car,Trincomalee,94400 (km),"Rs. 2,690,000","Rs. 2,690,000",1300,2012,Micro,PANDA LC,Manual,Petrol,https://riyasewana.com/buy/micro-panda-lc-sale-trincomalee-10142797,https://riyasewana.com/thumb/thumbmicro-panda-lc-31407376561.jpg
8/3/2025,micro,cars,Micro PANDA CROSS LC 1.0 2013 Car,Malabe,86125 (km),"Rs. 3,390,000","Rs. 3,390,000",1000,2013,Micro,PANDA CROSS LC 1.0,Manual,Petrol,https://riyasewana.com/buy/micro-panda-cross-sale-malabe-10142523,https://riyasewana.com/thumb/thumbmicro-panda-cross-3123716961.jpg
8/3/2025,micro,cars,Micro Panda Cross 2015 Car,Colombo,117000 (km),"Rs. 4,100,000","Rs. 4,100,000",1300,2015,Micro,Panda Cross,Manual,Petrol,https://riyasewana.com/buy/micro-panda-cross-sale-colombo-10142510,https://riyasewana.com/thumb/thumbmicro-panda-cross-2015-312355412761.jpg
8/3/2025,micro,cars,Micro Panda 2013 Car,Matara,40000 (km),Negotiable,Negotiable,1000,2013,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-matara-10141116,https://riyasewana.com/thumb/thumbmetrocab-micro-panda-3944054671.jpg
8/3/2025,micro,cars,Micro Panda 2015 Car,Kaduwela,54900 (km),Negotiable,Negotiable,996,2015,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-kaduwela-10141076,https://riyasewana.com/thumb/thumbmicro-micro-2015-39403812461.jpg
8/3/2025,micro,cars,Micro Panda Cross 2018 Car,Kadawatha,20000 (km),"Rs. 4,625,000","Rs. 4,625,000",1000,2018,Micro,Panda Cross,Automatic,Petrol,https://riyasewana.com/buy/micro-panda-cross-sale-kadawatha-10140796,https://riyasewana.com/thumb/thumbmicro-panda-3909144431.jpg
8/3/2025,micro,cars,Micro Panda 2015 Car,Kurunegala,63000 (km),"Rs. 3,200,000","Rs. 3,200,000",1000,2015,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-kurunegala-10140514,https://riyasewana.com/thumb/thumbmicro-panda-3840514681.jpg
8/3/2025,micro,cars,Micro Emgrand EC7 2015 Car,Gampaha,160000 (km),"Rs. 4,975,000","Rs. 4,975,000",1700,2015,Micro,Emgrand EC7,Automatic,Petrol,https://riyasewana.com/buy/micro-emgrand-ec7-sale-gampaha-10139867,https://riyasewana.com/thumb/thumbmicro-emgrand-ec7-2015-37105812651.jpg
8/3/2025,micro,cars,Micro MX7 2013 Car,Gampaha,160000 (km),"Rs. 3,350,000","Rs. 3,350,000",1500,2013,Micro,MX7,Manual,Petrol,https://riyasewana.com/buy/micro-mx7-sale-gampaha-10139687,https://riyasewana.com/thumb/thumbmicro-mx-7-2013-36241012431.jpg
8/3/2025,micro,cars,Micro Trend 2010 Car,Malabe,20000 (km),"Rs. 1,800,000","Rs. 1,800,000",1075,2010,Micro,Trend,Manual,Petrol,https://riyasewana.com/buy/micro-trend-sale-malabe-10139590,https://riyasewana.com/thumb/thumbmicro-trend-2010-33225412991.jpg
8/2/2025,micro,cars,Micro Panda 2017 Car,Colombo,49000 (km),"Rs. 3,950,000","Rs. 3,950,000",800,2017,Micro,Panda,Automatic,Petrol,https://riyasewana.com/buy/micro-panda-sale-colombo-10139253,https://riyasewana.com/thumb/thumbmicro-panda-221553522561.jpg
8/2/2025,micro,cars,Micro Panda 2013 Car,Pannala,88000 (km),"Rs. 3,200,000","Rs. 3,200,000",1000,2013,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-pannala-10139201,https://riyasewana.com/thumb/thumbmicro-panda-221324729132.jpg
8/2/2025,micro,cars,Micro Micro 2010 Car,Ratnapura,,"Rs. 2,500,000","Rs. 2,500,000",-,2010,Micro,Micro,Manual,Petrol,https://riyasewana.com/buy/micro-micro-sale-ratnapura-10139196,https://riyasewana.com/thumb/thumbmicro-micro-2010-221312212211.jpg
8/2/2025,micro,cars,Micro Panda 2018 Car,Kadawatha,49523 (km),"Rs. 4,195,000","Rs. 4,195,000",1000,2018,Micro,Panda,Automatic,Petrol,https://riyasewana.com/buy/micro-panda-sale-kadawatha-10138608,https://riyasewana.com/thumb/thumbmicro-auto-panda-21909506501.jpg
8/2/2025,micro,cars,Micro Panda Cross 2017 Car,Gampaha,19000 (km),"Rs. 4,270,000","Rs. 4,270,000",1000,2017,Micro,Panda Cross,Manual,Petrol,https://riyasewana.com/buy/micro-panda-cross-sale-gampaha-10137203,https://riyasewana.com/thumb/thumbmicro-panda-cross-2017-214240812431.jpg
8/2/2025,micro,cars,Micro Panda 2011 Car,Kadawatha,,"Rs. 995,000","Rs. 995,000",-,2011,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-kadawatha-10137134,https://riyasewana.com/thumb/thumbmicro-panda-1-3-21413054371.jpg
8/2/2025,micro,cars,Micro PANDA CROSS 2019 Car,Kesbewa,75000 (km),"Rs. 4,650,000",,,,,,,,https://riyasewana.com/buy/micro-panda-cross-sale-kesbewa-10136243,https://riyasewana.com/thumb/thumbmicro-panda-cross-21206444353.jpg
8/2/2025,micro,cars,Micro Panda 2013 Car,Padukka,54000 (km),"Rs. 3,250,000","Rs. 3,250,000",-,2013,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-padukka-10135855,https://riyasewana.com/thumb/thumbmicro-panda-2013-211253612191.jpg
8/2/2025,micro,cars,Micro Panda 2016 Car,Nittambuwa,80000 (km),"Rs. 3,550,000","Rs. 3,550,000",1000,2016,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-nittambuwa-10134901,https://riyasewana.com/thumb/thumbmicro-micro-panda-2952074871.jpg
8/2/2025,micro,cars,Micro Panda 2014 Car,Piliyandala,85000 (km),"Rs. 2,985,000","Rs. 2,985,000",1000,2014,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-piliyandala-10134636,https://riyasewana.com/thumb/thumbmicro-panda-2930084801.jpg
8/2/2025,micro,cars,Micro Mico 2010 Car,Dompe,89652 (km),"Rs. 1,850,000","Rs. 1,850,000",800,2010,Micro,Mico,Manual,Petrol,https://riyasewana.com/buy/micro-mico-sale-dompe-10134379,https://riyasewana.com/thumb/thumbmicro-mico-2010-29080012461.jpg
8/2/2025,micro,cars,Micro Panda LC 1.0 2017 Car,Colombo,36000 (km),"Rs. 3,550,000","Rs. 3,550,000",1000,2017,Micro,Panda LC 1.0,Manual,Petrol,https://riyasewana.com/buy/micro-panda-lc-sale-colombo-10134365,https://riyasewana.com/thumb/thumbmicro-panda-lc-2017-29063812081.jpg
8/2/2025,micro,cars,Micro Panda 2017 Car,Matara,42000 (km),Negotiable,Negotiable,1000,2017,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-matara-10134289,https://riyasewana.com/thumb/thumbmicro-panda-2017-29004112801.jpg
8/1/2025,micro,cars,Micro MX7 2010 Car,Bandaragama,43000 (km),"Rs. 3,295,000","Rs. 3,295,000",1500,2010,Micro,MX7,Manual,Petrol,https://riyasewana.com/buy/micro-mx7-sale-bandaragama-10131805,https://riyasewana.com/thumb/thumbmicro-mx7-119211522991.jpg
8/1/2025,micro,cars,Micro Trend 2012 Car,Kandy,81000 (km),"Rs. 2,050,000","Rs. 2,050,000",1000,2012,Micro,Trend,Manual,Petrol,https://riyasewana.com/buy/micro-trend-sale-kandy-10131648,https://riyasewana.com/thumb/thumbmicro-trend-2012-118553112561.jpg
8/1/2025,micro,cars,Micro Panda 2013 Car,Kuliyapitiya,94000 (km),"Rs. 2,950,000","Rs. 2,950,000",1000,2013,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-kuliyapitiya-10131040,https://riyasewana.com/thumb/thumbmicro-panda-117043222291.jpg
8/1/2025,micro,cars,Micro Panda Cross 2017 Car,Malabe,67216 (km),Negotiable,Negotiable,998,2017,Micro,Panda Cross,Manual,Petrol,https://riyasewana.com/buy/micro-panda-cross-sale-malabe-10130866,https://riyasewana.com/thumb/thumbmicro-panda-cross-1163304321.jpg
8/1/2025,micro,cars,Micro Emgrand 2015 Car,Kalmunai,98000 (km),"Rs. 3,800,000","Rs. 3,800,000",1780,2015,Micro,Emgrand,Automatic,Petrol,https://riyasewana.com/buy/micro-emgrand-sale-kalmunai-10130727,https://riyasewana.com/thumb/thumbmicro-emgrand-11607534431.jpg
8/1/2025,micro,cars,Micro Emgrand 2015 Car,Kalmunai,1010000 (km),"Rs. 4,180,000","Rs. 4,180,000",1700,2015,Micro,Emgrand,Automatic,Petrol,https://riyasewana.com/buy/micro-emgrand-sale-kalmunai-10130687,https://riyasewana.com/thumb/thumbmicro-2015-11601074991.jpg
8/1/2025,micro,cars,Micro Panda LC 2012 Car,Malabe,91270 (km),"Rs. 2,895,000","Rs. 2,895,000",1300,2012,Micro,Panda LC,Manual,Petrol,https://riyasewana.com/buy/micro-panda-lc-sale-malabe-10130565,https://riyasewana.com/thumb/thumbmicro-panda-1154205151.jpg
8/1/2025,micro,cars,Micro Trend 2011 Car,Kadawatha,98500 (km),"Rs. 1,950,000","Rs. 1,950,000",1075,2011,Micro,Trend,Manual,Petrol,https://riyasewana.com/buy/micro-trend-sale-kadawatha-10130561,https://riyasewana.com/thumb/thumbmicro-trend-11541144931.jpg
8/1/2025,micro,cars,Micro PANDA CROSS LC 1.0 2018 Car,Malabe,38960 (km),"Rs. 4,595,000","Rs. 4,595,000",1000,2018,Micro,PANDA CROSS LC 1.0,Automatic,Petrol,https://riyasewana.com/buy/micro-panda-cross-sale-malabe-10130551,https://riyasewana.com/thumb/thumbmicro-panda-cross-1153946911.jpg
8/1/2025,micro,cars,Micro PANDA CROSS LC 1.0 2017 Car,Malabe,56280 (km),"Rs. 4,395,000","Rs. 4,395,000",1000,2017,Micro,PANDA CROSS LC 1.0,Manual,Petrol,https://riyasewana.com/buy/micro-panda-cross-sale-malabe-10130538,https://riyasewana.com/thumb/thumbmicro-panda-cross-1153741951.jpg
8/1/2025,micro,cars,Micro Panda Cross 2015 Car,Gampaha,1 (km),"Rs. 3,950,000","Rs. 3,950,000",1300,2015,Micro,Panda Cross,Manual,Petrol,https://riyasewana.com/buy/micro-panda-cross-sale-gampaha-10130320,https://riyasewana.com/thumb/thumbmicro-micro-panda-114540622831.jpg
8/1/2025,micro,cars,Micro Panda 2015 Car,Ampara,73500 (km),"Rs. 3,290,000","Rs. 3,290,000",1000,2015,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-ampara-10130080,https://riyasewana.com/thumb/thumbmicro-panda-2015-114094912571.jpg
8/1/2025,micro,cars,Micro Panda Cross 2013 Car,Ja-Ela,181620 (km),Negotiable,Negotiable,1300,2013,Micro,Panda Cross,Manual,Petrol,https://riyasewana.com/buy/micro-panda-cross-sale-ja-ela-10129552,https://riyasewana.com/thumb/thumbmicro-panda-cross-1121413651.jpg
8/1/2025,micro,cars,Micro Panda Lc 1.0 2015 Car,Aluthgama,130000 (km),"Rs. 3,275,000","Rs. 3,275,000",1000,2015,Micro,Panda Lc 1.0,Manual,Petrol,https://riyasewana.com/buy/micro-panda-lc-sale-aluthgama-10129344,https://riyasewana.com/thumb/thumbmicro-panda-lc-11139414231.jpg
8/1/2025,micro,cars,Micro PANDA 2016 Car,Colombo,60000 (km),Negotiable,Negotiable,1342,2016,Micro,PANDA,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-colombo-10128372,https://riyasewana.com/thumb/thumbmicro-panda-193849731.jpg
8/1/2025,micro,cars,Micro Panda 2014 Car,Ambalangoda,82523 (km),"Rs. 3,180,000","Rs. 3,180,000",10000,2014,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-ambalangoda-10127668,https://riyasewana.com/thumb/thumbmicro-panda-2014-18164812801.jpg
8/1/2025,micro,cars,Micro MICRO 2010 Car,Dompe,99741 (km),"Rs. 1,875,000","Rs. 1,875,000",800,2010,Micro,MICRO,Manual,Petrol,https://riyasewana.com/buy/micro-micro-sale-dompe-10127536,https://riyasewana.com/thumb/thumbmicro-micro-2010-17545612611.jpg
8/4/2025,micro,pickups,Micro ACTYON SPORT 2010 Pickup,Colombo,133550 (km),Negotiable,Negotiable,1990,2010,Micro,ACTYON SPORT,Automatic,Diesel,https://riyasewana.com/buy/micro-actyon-sport-sale-colombo-10147374,https://riyasewana.com/thumb/thumbmicro-actyon-4122626911.jpg
8/4/2025,micro,vans,Micro Mpv 3 2012 Van,Balangoda,58500 (km),"Rs. 2,675,000",,,,,,,,https://riyasewana.com/buy/micro-mpv-3-sale-balangoda-10150046,https://riyasewana.com/thumb/thumbmicro-mpv-3-42222074561.jpg
