Date,Make,Type,Title,Location,Mileage,Overview Price,Detail Price,Engine CC,YOM,Post Make,Model,Gear,Fuel Type,Post URL,Image URL
8/4/2025,suzuki,cars,Suzuki Wagon R Fx 2023 Car,Gampaha,4000 (km),"Rs. 7,975,000","Rs. 7,975,000",650,2023,Suzuki,Wagon R Fx,Automatic,Petrol,https://riyasewana.com/buy/suzuki-wagon-r-sale-gampaha-10147695,https://riyasewana.com/thumb/thumbsuzuki-wagon-r-2023-413202912521.jpg
8/4/2025,suzuki,cars,Suzuki Alto LXI 2007 Car,Eheliyagoda,1111111 (km),"Rs. 3,195,000","Rs. 3,195,000",800,2007,Suzuki,Alto LXI,Manual,Petrol,https://riyasewana.com/buy/suzuki-alto-lxi-sale-eheliyagoda-10147670,https://riyasewana.com/thumb/thumbsuzuki-alto-lxi-41316344241.jpg
8/4/2025,suzuki,cars,Suzuki SPACIA G 2015 Car,Dehiwala-Mount-Lavinia,60000 (km),"Rs. 6,475,000","Rs. 6,475,000",650,2015,Suzuki,SPACIA G,Automatic,Hybrid,https://riyasewana.com/buy/suzuki-spacia-g-sale-dehiwala-mount-lavinia-10147647,https://riyasewana.com/thumb/thumbsuzuki-spacia-g-2015-413130313001.jpg
8/4/2025,suzuki,cars,Suzuki Wagon R ZX 2023 Car,Colombo,650 (km),Negotiable,Negotiable,-,2023,Suzuki,Wagon R ZX,Automatic,Hybrid,https://riyasewana.com/buy/suzuki-wagon-r-sale-colombo-10147643,https://riyasewana.com/thumb/thumbsuzuki-wagon-r-2023-413123812341.jpg
8/4/2025,suzuki,cars,Suzuki Alto 2016 Car,Galle,109250 (km),"Rs. 4,275,000","Rs. 4,275,000",800,2016,Suzuki,Alto,Manual,Petrol,https://riyasewana.com/buy/suzuki-alto-sale-galle-10147638,https://riyasewana.com/thumb/thumbsuzuki-alto-2016-413113312321.jpg
8/4/2025,suzuki,cars,Suzuki Spacia 2017 Car,Gampola,250 (km),"Rs. 4,100,000","Rs. 4,100,000",1500,2017,Suzuki,Spacia,Automatic,Petrol,https://riyasewana.com/buy/suzuki-spacia-sale-gampola-10147623,https://riyasewana.com/thumb/thumbsuzuki-spacia-41943236221.jpg
8/4/2025,suzuki,cars,Suzuki Wagon R Stingray 2018 Car,Kuliyapitiya,87500 (km),"Rs. 8,000,000","Rs. 8,000,000",658,2018,Suzuki,Wagon R Stingray,Automatic,Hybrid,https://riyasewana.com/buy/suzuki-wagon-r-sale-kuliyapitiya-10147622,https://riyasewana.com/thumb/thumbsuzuki-stingray-2018-413084812451.jpg
8/4/2025,suzuki,cars,Suzuki Alto 2015 Car,Colombo,130000 (km),Negotiable,Negotiable,800,2015,Suzuki,Alto,Manual,Petrol,https://riyasewana.com/buy/suzuki-alto-sale-colombo-10147608,https://riyasewana.com/thumb/thumbsuzuki-alto-2015-413060712661.jpg
8/4/2025,suzuki,cars,Suzuki Maruti 2006 Car,Ratnapura,98000 (km),"Rs. 2,250,000","Rs. 2,250,000",800,2006,Suzuki,Maruti,Manual,Petrol,https://riyasewana.com/buy/suzuki-maruti-sale-ratnapura-10147600,https://riyasewana.com/thumb/thumbsuzuki-maruti-41305204161.jpg
8/4/2025,suzuki,cars,Suzuki Maruti 1987 Car,Kandy,107500 (km),"Rs. 972,000","Rs. 972,000",1000,1987,Suzuki,Maruti,Manual,Petrol,https://riyasewana.com/buy/suzuki-maruti-sale-kandy-10147599,https://riyasewana.com/thumb/thumbsuzuki-maruti-1987-413044612671.jpg
8/4/2025,suzuki,cars,Suzuki Wagon R Stingray J Style 2015 Car,Anuradapura,150000 (km),"Rs. 6,390,000","Rs. 6,390,000",660,2015,Suzuki,Wagon R Stingray J Style,Automatic,Petrol,https://riyasewana.com/buy/suzuki-wagon-r-sale-anuradapura-10147596,https://riyasewana.com/thumb/thumbsuzuki-wagon-r-41304194701.jpg
8/4/2025,suzuki,cars,Suzuki Alto 800 2015 Car,Ampara,89000 (km),"Rs. 3,990,000","Rs. 3,990,000",800,2015,Suzuki,Alto 800,Manual,Petrol,https://riyasewana.com/buy/suzuki-alto-800-sale-ampara-10147551,https://riyasewana.com/thumb/thumbsuzuki-alto-800-41258464161.jpg
8/4/2025,suzuki,cars,Suzuki Baleno 2017 Car,Piliyandala,114000 (km),"Rs. 8,290,000","Rs. 8,290,000",1000,2017,Suzuki,Baleno,Automatic,Petrol,https://riyasewana.com/buy/suzuki-baleno-sale-piliyandala-10147518,https://riyasewana.com/thumb/thumbsuzuki-baleno-2017-412535612231.jpg
8/4/2025,suzuki,cars,Suzuki Estilo 2010 Car,Kalutara,140220 (km),Negotiable,Negotiable,1000,2010,Suzuki,Estilo,Manual,Petrol,https://riyasewana.com/buy/suzuki-estilo-sale-kalutara-10147498,https://riyasewana.com/thumb/thumbsuzuki-estilo-41249174971.jpg
8/4/2025,suzuki,cars,Suzuki SWIFT IGNIS 2004 Car,Kandy,170000 (km),"Rs. 4,150,000","Rs. 4,150,000",1300,2004,Suzuki,SWIFT IGNIS,Automatic,Petrol,https://riyasewana.com/buy/suzuki-swift-ignis-sale-kandy-10147428,https://riyasewana.com/thumb/thumbsuzuki-swift-ignis-2004-1416071512541.jpg
8/4/2025,suzuki,cars,Suzuki Alto Lxi 2015 Car,Gampaha,89000 (km),Negotiable,Negotiable,800,2015,Suzuki,Alto Lxi,Manual,Petrol,https://riyasewana.com/buy/suzuki-alto-lxi-sale-gampaha-10147415,https://riyasewana.com/thumb/thumbsuzuki-alto-lxi-2015-120032912851.jpg
8/4/2025,suzuki,cars,Suzuki SPACIA XS CUSTOM 2024 Car,Colombo,4000 (km),"Rs. 11,250,000","Rs. 11,250,000",650,2024,Suzuki,SPACIA XS CUSTOM,Automatic,Hybrid,https://riyasewana.com/buy/suzuki-spacia-xs-sale-colombo-10147376,https://riyasewana.com/thumb/thumbsuzuki-spacia-xs-4122639931.jpg
8/4/2025,suzuki,cars,Suzuki Maruti 2025 Car,Talawakele,5000 (km),"Rs. 1,000,000","Rs. 1,000,000",800,2025,Suzuki,Maruti,Manual,Petrol,https://riyasewana.com/buy/suzuki-maruti-sale-talawakele-10147375,https://riyasewana.com/thumb/thumbsuzuki-maruti-41226274471.jpg
